id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000067798	0.00	0.00	0.00	0.00	0.00	19.39	0.00	0.00	0.00	0.00	0.00	0.00	10.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000067842	0.00	0.00	2.15	2.12	2.07	1.17	0.00	115.33	16.11	33.17	45.32	40.78	1.16	0.00	112.71	23.04	211.61	18.78	3.89	1.44
ENSG00000068489	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.27	0.00	0.00	0.00	0.00	0.00	0.00	3.57	0.00	0.00	0.00
ENSG00000068654	1.04	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000068903	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.99	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000069431	17.29	8.10	8.68	6.76	3.08	10.66	28.06	2.45	2.87	10.13	4.91	601.04	7.70	7.07	6.71	3.45	2.68	0.00	20.76	4.64
ENSG00000069702	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00
ENSG00000069869	105.10	824.49	658.63	648.51	535.57	974.88	993.19	183.55	1039.14	997.79	269.85	11758.60	632.75	1206.89	594.11	896.03	2452.24	377.58	2474.69	51.65
ENSG00000069974	0.00	0.00	0.00	2.52	0.00	0.00	0.00	0.00	2.13	0.00	4.91	0.00	0.00	3.51	9.36	2.14	2.34	0.00	0.00	5.14
ENSG00000070010	2.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000070182	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	1.69	0.00	0.00	0.00
ENSG00000070190	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01
ENSG00000070444	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.94	0.00	0.00	0.00	0.00	0.00
ENSG00000070501	0.00	0.00	0.00	0.00	0.00	0.00	29.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000070601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	27.39	0.00	17.50
ENSG00000070669	0.00	58.28	21.32	11.90	113.38	5.22	0.00	46.04	99.90	0.00	0.00	0.00	148.13	0.00	97.79	77.37	145.41	25.86	131.55	0.00
ENSG00000070729	0.00	0.00	3.36	7.83	17.15	0.00	19.58	0.00	307.98	3.51	80.30	0.00	1.81	2.78	15.53	3.51	194.45	218.67	415.36	158.52
ENSG00000070756	81676.41	68940.98	63156.22	107979.48	50062.19	86087.39	80395.08	48835.41	92514.71	48152.93	47525.90	96814.44	61499.19	49043.27	50697.76	53647.12	75877.32	37473.58	75663.56	78406.76
ENSG00000070770	838.54	884.66	1026.44	736.28	663.27	883.91	1248.11	323.06	1332.38	1781.76	1765.96	1016.14	2793.99	944.10	2020.76	488.81	3691.60	1441.16	1305.77	775.19
ENSG00000071073	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.00	0.72	0.00	0.01	1.36
ENSG00000071553	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26
